************************** 2024-01-19T23:00:28+00:00 **************************
2024-01-20T00:29:21+00:00 | [WARN	] THIS MAY BE A FALSE POSITIVE; DO NOT BLANKET BAN
2024-01-20T00:29:21+00:00 | [WARN	] [SPEED-HACK] Potential speed-hack player=76561198124427286, distance=29.9524u, unitsPerSecond=11.981 [threshold=8, inVehicle=0, triggers=8])
2024-01-20T00:29:21+00:00 | [WARN	] THIS MAY BE A FALSE POSITIVE; DO NOT BLANKET BAN
2024-01-20T00:29:21+00:00 | [WARN	] ****************************************
2024-01-20T00:29:23+00:00 | [WARN	] ********* EXPERIMENTAL FEATURE *********
2024-01-20T00:29:23+00:00 | [WARN	] THIS MAY BE A FALSE POSITIVE; DO NOT BLANKET BAN
2024-01-20T00:29:23+00:00 | [WARN	] [SPEED-HACK] Potential speed-hack player=76561198124427286, distance=29.1479u, unitsPerSecond=11.6592 [threshold=8, inVehicle=0, triggers=9])
2024-01-20T00:29:23+00:00 | [WARN	] THIS MAY BE A FALSE POSITIVE; DO NOT BLANKET BAN
2024-01-20T00:29:23+00:00 | [WARN	] ****************************************
2024-01-20T00:30:13+00:00 | [WARN	] ********* EXPERIMENTAL FEATURE *********
2024-01-20T00:30:13+00:00 | [WARN	] THIS MAY BE A FALSE POSITIVE; DO NOT BLANKET BAN
2024-01-20T00:30:13+00:00 | [WARN	] [SPEED-HACK] Potential speed-hack player=76561198124427286, distance=22.5827u, unitsPerSecond=9.03308 [threshold=8, inVehicle=0, triggers=10])
2024-01-20T00:30:13+00:00 | [WARN	] THIS MAY BE A FALSE POSITIVE; DO NOT BLANKET BAN
2024-01-20T00:30:13+00:00 | [WARN	] ****************************************
2024-01-20T00:30:16+00:00 | [WARN	] ********* EXPERIMENTAL FEATURE *********
2024-01-20T00:30:16+00:00 | [WARN	] THIS MAY BE A FALSE POSITIVE; DO NOT BLANKET BAN
2024-01-20T00:30:16+00:00 | [WARN	] [SPEED-HACK] Potential speed-hack player=76561198124427286, distance=26.1365u, unitsPerSecond=10.4546 [threshold=8, inVehicle=0, triggers=11])
2024-01-20T00:30:16+00:00 | [WARN	] THIS MAY BE A FALSE POSITIVE; DO NOT BLANKET BAN
2024-01-20T00:30:16+00:00 | [WARN	] ****************************************
2024-01-20T00:30:18+00:00 | [WARN	] ********* EXPERIMENTAL FEATURE *********
2024-01-20T00:30:18+00:00 | [WARN	] THIS MAY BE A FALSE POSITIVE; DO NOT BLANKET BAN
2024-01-20T00:30:18+00:00 | [WARN	] [SPEED-HACK] Potential speed-hack player=76561198124427286, distance=28.0257u, unitsPerSecond=11.2103 [threshold=8, inVehicle=0, triggers=12])
2024-01-20T00:30:18+00:00 | [WARN	] THIS MAY BE A FALSE POSITIVE; DO NOT BLANKET BAN
2024-01-20T00:30:18+00:00 | [WARN	] ****************************************
2024-01-20T00:30:21+00:00 | [WARN	] ********* EXPERIMENTAL FEATURE *********
2024-01-20T00:30:21+00:00 | [WARN	] THIS MAY BE A FALSE POSITIVE; DO NOT BLANKET BAN
2024-01-20T00:30:21+00:00 | [WARN	] [SPEED-HACK] Potential speed-hack player=76561198124427286, distance=28.9759u, unitsPerSecond=11.5904 [threshold=8, inVehicle=0, triggers=13])
2024-01-20T00:30:21+00:00 | [WARN	] THIS MAY BE A FALSE POSITIVE; DO NOT BLANKET BAN
2024-01-20T00:30:21+00:00 | [WARN	] ****************************************
2024-01-20T00:30:23+00:00 | [WARN	] ********* EXPERIMENTAL FEATURE *********
2024-01-20T00:30:23+00:00 | [WARN	] THIS MAY BE A FALSE POSITIVE; DO NOT BLANKET BAN
2024-01-20T00:30:23+00:00 | [WARN	] [SPEED-HACK] Potential speed-hack player=76561198124427286, distance=29.5296u, unitsPerSecond=11.8118 [threshold=8, inVehicle=0, triggers=14])
2024-01-20T00:30:23+00:00 | [WARN	] THIS MAY BE A FALSE POSITIVE; DO NOT BLANKET BAN
2024-01-20T00:30:23+00:00 | [WARN	] ****************************************
2024-01-20T00:30:26+00:00 | [WARN	] ********* EXPERIMENTAL FEATURE *********
2024-01-20T00:30:26+00:00 | [WARN	] THIS MAY BE A FALSE POSITIVE; DO NOT BLANKET BAN
2024-01-20T00:30:26+00:00 | [WARN	] [SPEED-HACK] Potential speed-hack player=76561198124427286, distance=29.7813u, unitsPerSecond=11.9125 [threshold=8, inVehicle=0, triggers=15])
2024-01-20T00:30:26+00:00 | [WARN	] THIS MAY BE A FALSE POSITIVE; DO NOT BLANKET BAN
2024-01-20T00:30:26+00:00 | [WARN	] ****************************************
2024-01-20T00:30:28+00:00 | [WARN	] ********* EXPERIMENTAL FEATURE *********
2024-01-20T00:30:28+00:00 | [WARN	] THIS MAY BE A FALSE POSITIVE; DO NOT BLANKET BAN
2024-01-20T00:30:28+00:00 | [WARN	] [SPEED-HACK] Potential speed-hack player=76561198124427286, distance=29.8986u, unitsPerSecond=11.9594 [threshold=8, inVehicle=0, triggers=16])
2024-01-20T00:30:28+00:00 | [WARN	] THIS MAY BE A FALSE POSITIVE; DO NOT BLANKET BAN
2024-01-20T00:30:28+00:00 | [WARN	] ****************************************
2024-01-20T00:30:31+00:00 | [WARN	] ********* EXPERIMENTAL FEATURE *********
2024-01-20T00:30:31+00:00 | [WARN	] THIS MAY BE A FALSE POSITIVE; DO NOT BLANKET BAN
2024-01-20T00:30:31+00:00 | [WARN	] [SPEED-HACK] Potential speed-hack player=76561198124427286, distance=30.0089u, unitsPerSecond=12.0035 [threshold=8, inVehicle=0, triggers=17])
2024-01-20T00:30:31+00:00 | [WARN	] THIS MAY BE A FALSE POSITIVE; DO NOT BLANKET BAN
2024-01-20T00:30:31+00:00 | [WARN	] ****************************************
2024-01-20T00:30:33+00:00 | [WARN	] ********* EXPERIMENTAL FEATURE *********
2024-01-20T00:30:33+00:00 | [WARN	] THIS MAY BE A FALSE POSITIVE; DO NOT BLANKET BAN
2024-01-20T00:30:33+00:00 | [WARN	] [SPEED-HACK] Potential speed-hack player=76561198124427286, distance=30.0573u, unitsPerSecond=12.0229 [threshold=8, inVehicle=0, triggers=18])
2024-01-20T00:30:33+00:00 | [WARN	] THIS MAY BE A FALSE POSITIVE; DO NOT BLANKET BAN
2024-01-20T00:30:33+00:00 | [WARN	] ****************************************
2024-01-20T00:30:36+00:00 | [WARN	] ********* EXPERIMENTAL FEATURE *********
2024-01-20T00:30:36+00:00 | [WARN	] THIS MAY BE A FALSE POSITIVE; DO NOT BLANKET BAN
2024-01-20T00:30:36+00:00 | [WARN	] [SPEED-HACK] Potential speed-hack player=76561198124427286, distance=30.0754u, unitsPerSecond=12.0302 [threshold=8, inVehicle=0, triggers=19])
2024-01-20T00:30:36+00:00 | [WARN	] THIS MAY BE A FALSE POSITIVE; DO NOT BLANKET BAN
2024-01-20T00:30:36+00:00 | [WARN	] ****************************************
2024-01-20T00:30:38+00:00 | [WARN	] ********* EXPERIMENTAL FEATURE *********
2024-01-20T00:30:38+00:00 | [WARN	] THIS MAY BE A FALSE POSITIVE; DO NOT BLANKET BAN
2024-01-20T00:30:38+00:00 | [WARN	] [SPEED-HACK] Potential speed-hack player=76561198124427286, distance=30.0348u, unitsPerSecond=12.0139 [threshold=8, inVehicle=0, triggers=20])
2024-01-20T00:30:38+00:00 | [WARN	] THIS MAY BE A FALSE POSITIVE; DO NOT BLANKET BAN
2024-01-20T00:30:38+00:00 | [WARN	] ****************************************
2024-01-20T00:30:41+00:00 | [WARN	] ********* EXPERIMENTAL FEATURE *********
2024-01-20T00:30:41+00:00 | [WARN	] THIS MAY BE A FALSE POSITIVE; DO NOT BLANKET BAN
2024-01-20T00:30:41+00:00 | [WARN	] [SPEED-HACK] Potential speed-hack player=76561198124427286, distance=30.0409u, unitsPerSecond=12.0164 [threshold=8, inVehicle=0, triggers=21])
2024-01-20T00:30:41+00:00 | [WARN	] THIS MAY BE A FALSE POSITIVE; DO NOT BLANKET BAN
2024-01-20T00:30:41+00:00 | [WARN	] ****************************************
2024-01-20T00:30:43+00:00 | [WARN	] ********* EXPERIMENTAL FEATURE *********
2024-01-20T00:30:43+00:00 | [WARN	] THIS MAY BE A FALSE POSITIVE; DO NOT BLANKET BAN
2024-01-20T00:30:43+00:00 | [WARN	] [SPEED-HACK] Potential speed-hack player=76561198124427286, distance=30.0737u, unitsPerSecond=12.0295 [threshold=8, inVehicle=0, triggers=22])
2024-01-20T00:30:43+00:00 | [WARN	] THIS MAY BE A FALSE POSITIVE; DO NOT BLANKET BAN
2024-01-20T00:30:43+00:00 | [WARN	] ****************************************
2024-01-20T00:30:46+00:00 | [WARN	] ********* EXPERIMENTAL FEATURE *********
2024-01-20T00:30:46+00:00 | [WARN	] THIS MAY BE A FALSE POSITIVE; DO NOT BLANKET BAN
2024-01-20T00:30:46+00:00 | [WARN	] [SPEED-HACK] Potential speed-hack player=76561198124427286, distance=30.0922u, unitsPerSecond=12.0369 [threshold=8, inVehicle=0, triggers=23])
2024-01-20T00:30:46+00:00 | [WARN	] THIS MAY BE A FALSE POSITIVE; DO NOT BLANKET BAN
2024-01-20T00:30:46+00:00 | [WARN	] ****************************************
2024-01-20T00:30:48+00:00 | [WARN	] ********* EXPERIMENTAL FEATURE *********
2024-01-20T00:30:48+00:00 | [WARN	] THIS MAY BE A FALSE POSITIVE; DO NOT BLANKET BAN
2024-01-20T00:30:48+00:00 | [WARN	] [SPEED-HACK] Potential speed-hack player=76561198124427286, distance=30.0999u, unitsPerSecond=12.0399 [threshold=8, inVehicle=0, triggers=24])
2024-01-20T00:30:48+00:00 | [WARN	] THIS MAY BE A FALSE POSITIVE; DO NOT BLANKET BAN
2024-01-20T00:30:48+00:00 | [WARN	] ****************************************
2024-01-20T00:30:51+00:00 | [WARN	] ********* EXPERIMENTAL FEATURE *********
2024-01-20T00:30:51+00:00 | [WARN	] THIS MAY BE A FALSE POSITIVE; DO NOT BLANKET BAN
2024-01-20T00:30:51+00:00 | [WARN	] [SPEED-HACK] Potential speed-hack player=76561198124427286, distance=30.0851u, unitsPerSecond=12.034 [threshold=8, inVehicle=0, triggers=25])
2024-01-20T00:30:51+00:00 | [WARN	] THIS MAY BE A FALSE POSITIVE; DO NOT BLANKET BAN
