[COT 2024-02-04 23:09:22] 76561199108250772: Teleported to position <5643.580566, 28.709999, 5416.662109>
[COT 2024-02-05 00:22:50] 76561199407766611: Set GodMode To true [guid=spMEkRl42onhFHdF_u42e0T03x2sj347kUc600NXdGA=]
[COT 2024-02-05 00:22:51] 76561199407766611: Set Invisibility To 1 [guid=spMEkRl42onhFHdF_u42e0T03x2sj347kUc600NXdGA=]
[COT 2024-02-05 00:22:52] 76561199407766611: Set UnlimitedStamina To true [guid=spMEkRl42onhFHdF_u42e0T03x2sj347kUc600NXdGA=]
[COT 2024-02-05 00:22:52] 76561199407766611: Set UnlimitedAmmo To true [guid=spMEkRl42onhFHdF_u42e0T03x2sj347kUc600NXdGA=]
[COT 2024-02-05 00:22:56] 76561199407766611: Set Invisibility To 1 [guid=-r2araXommLNgd2kLCOg5MUhQUGYZRsIrQF--_XcIVE=]
[COT 2024-02-05 00:22:57] 76561199407766611: Set UnlimitedStamina To true [guid=-r2araXommLNgd2kLCOg5MUhQUGYZRsIrQF--_XcIVE=]
[COT 2024-02-05 00:22:57] 76561199407766611: Set UnlimitedAmmo To true [guid=-r2araXommLNgd2kLCOg5MUhQUGYZRsIrQF--_XcIVE=]
[COT 2024-02-05 00:22:58] 76561199407766611: Set UnlimitedStamina To true [guid=-r2araXommLNgd2kLCOg5MUhQUGYZRsIrQF--_XcIVE=]
[COT 2024-02-05 00:23:00] 76561199407766611: Set UnlimitedAmmo To false [guid=-r2araXommLNgd2kLCOg5MUhQUGYZRsIrQF--_XcIVE=]
[COT 2024-02-05 00:23:00] 76561199407766611: Set UnlimitedStamina To false [guid=-r2araXommLNgd2kLCOg5MUhQUGYZRsIrQF--_XcIVE=]
[COT 2024-02-05 00:23:02] 76561199407766611: Healed [guid=-r2araXommLNgd2kLCOg5MUhQUGYZRsIrQF--_XcIVE=]
[COT 2024-02-05 00:51:41] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<61c75d30>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:41] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<61c72360>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:41] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<61c6f520>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:42] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<61c72ef0>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:42] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<61c85000>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:42] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<61c90900>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:42] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<b709d800>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:42] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<b7098710>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:44] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<b70a28f0>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:44] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<b70a3480>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:44] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<b70a62c0>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:44] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<b70a4010>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:44] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<b7084350>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:44] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<c6647c00>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:45] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<c664efa0>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
